Position	Depth
26591	5
26592	11
26593	190
26594	54862
26595	55872
26596	56296
26597	56304
26598	56326
26599	56341
26600	56341
26601	56378
26602	56375
26603	56384
26604	56378
26605	56390
26606	56388
26607	56392
26608	56387
26609	56393
26610	56390
26611	56393
26612	56395
26613	56396
26614	56396
26615	56398
26616	56400
26617	56398
26618	56401
26619	56401
26620	56401
26621	56403
26622	56404
26623	56404
26624	56405
26625	56407
26626	56408
26627	56409
26628	56409
26629	56409
26630	56410
26631	56411
26632	56414
26633	56414
26634	56415
26635	56415
26636	56416
26637	56415
26638	56416
26639	56417
26640	56417
26641	56419
26642	56419
26643	56420
26644	56422
26645	56423
26646	56423
26647	56423
26648	56424
26649	56426
26650	56429
26651	56431
26652	56431
26653	56431
26654	56431
26655	56427
26656	56432
26657	56435
26658	56435
26659	56435
26660	56435
26661	56448
26662	56448
26663	56451
26664	56452
26665	56452
26666	56453
26667	56456
26668	56457
26669	56459
26670	56459
26671	56461
26672	56461
26673	56459
26674	56461
26675	56461
26676	56461
26677	56459
26678	56462
26679	56464
26680	56464
26681	56464
26682	56464
26683	56463
26684	56464
26685	56468
26686	56468
26687	56470
26688	56471
26689	56471
26690	56471
26691	56469
26692	56472
26693	56474
26694	56474
26695	56473
26696	56476
26697	56478
26698	56480
26699	56481
26700	56483
26701	56484
26702	56484
26703	56486
26704	56486
26705	56482
26706	56488
26707	56489
26708	56489
26709	56490
26710	56494
26711	56493
26712	56494
26713	56495
26714	56491
26715	56495
26716	56495
26717	56495
26718	56494
26719	56494
26720	56494
26721	56498
26722	56496
26723	56501
26724	56502
26725	56504
26726	56504
26727	56505
26728	56507
26729	56508
26730	56508
26731	56503
26732	56510
26733	56510
26734	56510
26735	56511
26736	56514
26737	56515
26738	56516
26739	56516
26740	56517
26741	56517
26742	56518
26743	56518
26744	56517
26745	56519
26746	56517
26747	56516
26748	56518
26749	56517
26750	56514
26751	56519
26752	56521
26753	56540
26754	56552
26755	56631
26756	56749
26757	56726
26758	58056
26759	111655
26760	111698
26761	111697
26762	111693
26763	111692
26764	111693
26765	111693
26766	111698
26767	111698
26768	111689
26769	111685
26770	111678
26771	111678
26772	111680
26773	111682
26774	111682
26775	111681
26776	111682
26777	111681
26778	111674
26779	111672
26780	111668
26781	111667
26782	111667
26783	111664
26784	111661
26785	111660
26786	111660
26787	111655
26788	111656
26789	111651
26790	111610
26791	111596
26792	111588
26793	111581
26794	111581
26795	111577
26796	111569
26797	111558
26798	111560
26799	111553
26800	111583
26801	111592
26802	111602
26803	111624
26804	111659
26805	111703
26806	111722
26807	111753
26808	111783
26809	111799
26810	111821
26811	111845
26812	111887
26813	111906
26814	111953
26815	111963
26816	111971
26817	111978
26818	111974
26819	111967
26820	111978
26821	111976
26822	111972
26823	111980
26824	111982
26825	111988
26826	111994
26827	111994
26828	111995
26829	111995
26830	111997
26831	111996
26832	111995
26833	111991
26834	111993
26835	111993
26836	111995
26837	111994
26838	111995
26839	111999
26840	112000
26841	112001
26842	112001
26843	112000
26844	111953
26845	57611
26846	56493
26847	56071
26848	56050
26849	56042
26850	56035
26851	56019
26852	56004
26853	56001
26854	55999
26855	55997
26856	55999
26857	55998
26858	55990
26859	56000
26860	56000
26861	55999
26862	55997
26863	55998
26864	55997
26865	55996
26866	55994
26867	55994
26868	55994
26869	55993
26870	55992
26871	55989
26872	55991
26873	55990
26874	55990
26875	55989
26876	55987
26877	55985
26878	55986
26879	55986
26880	55985
26881	55985
26882	55980
26883	55979
26884	55981
26885	55980
26886	55979
26887	55979
26888	55979
26889	55978
26890	55978
26891	55978
26892	55976
26893	55976
26894	55974
26895	55975
26896	55973
26897	55974
26898	55970
26899	55973
26900	55970
26901	55969
26902	55967
26903	55967
26904	55967
26905	55967
26906	55967
26907	55967
26908	55964
26909	55964
26910	55964
26911	55957
26912	55951
26913	55951
26914	55948
26915	55947
26916	55947
26917	55943
26918	55942
26919	55940
26920	55937
26921	55938
26922	55937
26923	55936
26924	55937
26925	55937
26926	55937
26927	55937
26928	55936
26929	55936
26930	55934
26931	55934
26932	55934
26933	55934
26934	55934
26935	55934
26936	55929
26937	55929
26938	55927
26939	55925
26940	55926
26941	55926
26942	55924
26943	55925
26944	55923
26945	55923
26946	55923
26947	55921
26948	55918
26949	55917
26950	55916
26951	55913
26952	55913
26953	55911
26954	55910
26955	55910
26956	55909
26957	55908
26958	55907
26959	55907
26960	55906
26961	55898
26962	55902
26963	55902
26964	55901
26965	55901
26966	55901
26967	55901
26968	55901
26969	55901
26970	55900
26971	55900
26972	55896
26973	55895
26974	55894
26975	55892
26976	55890
26977	55890
26978	55889
26979	55883
26980	55887
26981	55881
26982	55879
26983	55877
26984	55875
26985	55877
26986	55876
26987	55872
26988	55871
26989	55871
26990	55871
26991	55869
26992	55870
26993	55869
26994	55869
26995	55869
26996	55868
26997	55866
26998	55865
26999	55863
27000	55862
27001	55860
27002	55862
27003	55853
27004	55837
27005	55815
27006	55741
27007	55613
27008	55552
27009	54304
27010	161
27011	32
27012	2
27013	1
